,us equity,eu equity,em equity,us gov,eu gov,us corp,eu corp,us real,eu real,comm
09/09/2005,24.40497701,31.27826956,15.56863694,143.5514263,124.526,114.0683,107.3150917,15.54354101,24.85596151,27.53415831
12/09/2005,24.35600911,31.2236827,15.62803894,143.2815176,124.13,114.0786,107.0054496,15.49575157,24.49930002,27.3151873
13/09/2005,24.22086161,30.97804184,15.57351431,143.5514263,123.745,113.8506,107.1293064,15.3775317,24.37251878,27.12862584
14/09/2005,24.1327194,31.08721556,15.62418072,143.3414974,124.255,113.9128,107.1637111,15.36496976,24.63039407,27.46272878
15/09/2005,24.12096322,31.05992213,15.68118043,143.0216056,124.078,113.5604,107.0536161,15.37150885,24.42053015,27.36761181
16/09/2005,24.2917096,31.34195423,15.7390537,142.671724,123.766,112.9799,106.8884736,15.40521221,24.43949107,27.0790475
19/09/2005,24.2110486,31.21458489,15.80376984,142.8616597,123.953,113.0629,107.1224255,15.28448487,24.47553886,28.42509947
20/09/2005,24.00649104,31.40563889,15.9147118,142.7816868,124.286,112.897,107.1568302,15.16626499,24.58946222,28.19373388
21/09/2005,23.78226861,30.96894403,16.00294124,143.2215379,124.682,113.4049,107.4183058,14.83173889,24.55862154,28.38176433
22/09/2005,23.86683539,30.83247689,15.87976945,143.3215041,124.89,113.5811,107.4183058,14.91222379,24.22856848,28.52636783
23/09/2005,23.8865197,30.98713965,15.75885436,142.8316699,124.328,113.1665,107.2325205,14.92481031,24.27999755,28.0594133
26/09/2005,23.91405443,31.60579071,15.87263539,142.5717578,123.995,112.7519,106.9779258,15.04202227,24.30481738,28.50773004
27/09/2005,23.90814719,31.44203013,15.93531323,142.4917849,124.057,112.6379,106.9435211,15.00386938,24.17534999,28.4183054
28/09/2005,23.93175671,31.90601842,15.99748149,142.7616935,123.693,112.7808,106.9228783,14.85885399,24.3293109,29.15325841
29/09/2005,24.12648182,31.74225785,16.13193675,142.5517646,123.621,112.7392,106.7921405,15.13615076,24.22954659,29.26471787
30/09/2005,24.20121615,31.92421404,16.26966784,142.2518661,123.808,112.4999,106.854069,15.37780211,24.52005035,29.13333526
03/10/2005,24.11466734,32.05158338,16.27534598,141.9319743,123.766,112.115,106.6751646,15.33202848,24.29887709,29.23441999
04/10/2005,23.8432453,32.1607571,16.33052577,142.0219438,123.454,112.1358,106.7646168,15.07255442,24.26307098,29.06300747
05/10/2005,23.53049202,31.77864909,16.06146967,142.1518999,123.6,112.5311,106.7990215,14.83849923,24.14605623,28.95347606
06/10/2005,23.44592524,31.46022575,15.67899653,142.1618965,123.423,112.3543,106.7233312,14.81814446,24.19951965,28.40664531
07/10/2005,23.52656681,31.32375861,15.69537576,142.2418694,123.402,112.3126,106.6614027,14.66550833,24.02155427,28.4198662
10/10/2005,23.32789707,31.46022575,15.81410695,142.2418694,123.558,112.3543,106.7577358,14.47727594,23.85685364,28.3322778
11/10/2005,23.2944551,31.46022575,15.90706816,142.1319066,123.517,112.115,106.6545218,14.41367959,23.83927771,28.84311834
12/10/2005,23.11154447,31.25561601,15.67149849,141.7620318,123.173,111.9069,106.5031412,14.15420553,23.81746789,28.96513615
13/10/2005,23.09776739,30.97649521,15.31697922,141.5321096,122.882,111.4283,106.2623084,14.15673759,23.1904028,28.60817209
14/10/2005,23.34167414,31.14398589,15.21812149,141.4521367,122.82,111.3242,106.2623084,14.48489668,23.27486802,28.4925811
17/10/2005,23.42822296,31.22768574,15.30314788,141.4821265,122.715,111.3138,106.2485465,14.56884779,23.10976052,29.02811901
18/10/2005,23.17448376,31.02298502,15.17881135,141.5521028,122.58,111.4075,106.2898321,14.42894567,23.00218432,28.61909769
19/10/2005,23.56000877,30.55790499,14.86826121,141.6720622,123.007,111.5948,106.4549746,14.59175919,22.85172411,28.41702004
20/10/2005,23.144967,30.51141518,14.91601575,141.6820589,122.663,111.5948,106.2691893,14.36026063,23.01683161,27.9859639
21/10/2005,23.23546045,30.44627487,14.96944843,142.1818897,123.184,111.8132,106.5169031,14.4976307,22.92268209,27.9023234
24/10/2005,23.59541334,30.78116524,15.09356657,141.8320081,123.246,111.6988,106.5719506,14.79272559,23.14768154,27.80032056
25/10/2005,23.5481943,30.66025535,15.09356657,141.4521367,122.768,111.5219,106.2554275,14.73166131,23.38179241,28.75507088
26/10/2005,23.47934777,30.78116524,15.16061221,140.9223159,122.154,110.8307,105.9595472,14.5815818,23.22026618,28.29518586
27/10/2005,23.22955321,30.20445509,14.97418021,141.1322449,122.185,110.6949,105.7737619,14.42385697,23.20244612,28.13130189
28/10/2005,23.56393398,30.21373485,14.91703491,141.0822618,122.029,110.9769,105.7255953,14.85885399,23.09584559,27.85559123
